FONDREN RD @ ARIEL ST,S5120,-95.508853,29.682742,30,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ BIRDWOOD RD,S5121,-95.508833,29.680689,31,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ WANDA LN,S5122,-95.508811,29.678859,32,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ BRAESWOOD BLVD,S5123,-95.508775,29.675835,33,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ WANDA LN,S5124,-95.508537,29.678286,23,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ WANDA LN,S5125,-95.508563,29.680617,24,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ ARIEL ST,S5126,-95.50859,29.682426,25,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ JACKWOOD ST,S5127,-95.508602,29.684365,26,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ BISSONNET ST,S5128,-95.508606,29.686624,27,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ KINGSGATE CIR,S5129,-95.508724,29.688283,28,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ BEECHNUT ST,S5130,-95.509728,29.691821,29,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ SHARPCREST LN,S5131,-95.511842,29.695251,30,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ SHARPVIEW DR,S5132,-95.513779,29.697005,31,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ GUILDFORD RD,S5133,-95.515164,29.698193,32,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ MINETTA ST,S6370,-95.508079,29.635304,6,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ FONMEADOW DR,S6371,-95.508109,29.638331,7,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ TURK LN,S6372,-95.50814,29.640781,8,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ W AIRPORT BLVD,S6373,-95.508175,29.643897,9,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ AIRPORT BLVD,S6374,-95.5082,29.645549,10,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ SOUTHMEADOW DR,S6375,-95.508216,29.647122,11,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ SOUTHMEADOW DR MB,S6376,-95.508246,29.649824,12,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ LUDINGTON DR,S6377,-95.508255,29.651262,13,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ LUDINGTON DR,S6378,-95.508285,29.653281,14,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ W BELLFORT AVE,S6379,-95.508293,29.655727,15,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ SANFORD RD,S6380,-95.508338,29.65903,16,Ho414_4620_36027,Ho414_4620_36027_0
